model,dtype,xpu,cap,bw,sys_opb,hw,cores,pipe_level,is parallel,power constraint,gqa_size,Lin,Lout,bs,required_cap,s_flops,g_flops,s_time,s_matmul,s_fc,s_comm,s_softmax,s_act,s_lnorm,g_time (ms),g_matmul,g_fc,g_comm,g_etc,g_qkv_time,g_prj_time,g_ff_time,g2g_comm,c2g_comm,g_softmax,g_act,g_lnorm,g_energy (nJ),g_dram_energy,g_l2_energy,g_l1_energy,g_reg_energy,g_alu_energy,g_fc_mem_energy,g_fc_comp_energy,g_attn_mem_energy,g_attn_comp_energy,g_etc_mem_energy,g_etc_comp_energy,g_comm_energy
GPT-175B,W16A16,GPU,0,0,0,PAPI_DYNAMIC,8,0,False,True,0,10,279,8,0,0,0,31.40149677558153,0.03871806822967851,17.09210254106416,11.11735296,0.0014555664747999439,0,0,57.93486799240702,0.3165242367311825,34.58805571858396,18.644936043355187,0.0,8.659483504441745,2.8870997589216425,23.04147245522087,0.0,0.0,0.007842568327045961,0.0,0.0,4086771463.612176,3456676469.2191405,0.0,0.0,0.0,630094994.3930357,2665106390.046517,523647763.8484366,10800025.820215061,215353.66375225806,111538568.83546878,15796766.320970146,0.0
GPT-175B,W16A16,GPU,0,0,0,PAPI_DYNAMIC,8,0,False,True,0,10,332,8,0,0,0,31.40149677558153,0.03871806822967851,17.09210254106416,11.11735296,0.0014555664747999439,0,0,58.699558156190285,0.3361729269397594,33.9798548490212,19.757554046458008,0.0,8.506288080375864,2.8348656325646897,22.638701136080908,0.0,0.0,0.008717264858958507,0.0,0.0,4488113043.241537,3776232412.2944245,0.0,0.0,0.0,711880630.9471128,2900809164.114044,594152961.3719258,11922306.266371021,239372.46664481924,123357266.06212768,17470601.66113133,0.0
GPT-175B,W16A16,GPU,0,0,0,PAPI_DYNAMIC,8,0,False,True,0,14,226,8,0,0,0,37.88331602123763,0.05502041274743787,21.952341858461537,12.306438144,0.0028529102906078904,0,0,60.86007445364359,0.3090939015929201,37.84768396453501,18.376112055504706,0.0,9.483568899169198,3.172788783603345,25.191326281762752,0.0,0.0,0.007601955773333052,0.0,0.0,2696784829.945418,2298329946.969301,0.0,0.0,0.0,398454882.9761161,1526967471.7321525,294733982.9740879,10581355.747454869,208746.54312212393,108683007.16847557,15392344.417053433,0.0
GPT-175B,W16A16,GPU,0,0,0,PAPI_DYNAMIC,8,0,False,True,0,10,218,8,0,0,0,31.40149677558153,0.03871806822967851,17.09210254106416,11.11735296,0.0014555664747999439,0,0,59.76175018130424,0.31331074921100877,33.17274404582923,21.313424337027776,0.0,8.306881633365577,2.7732896569893777,22.092572755474446,0.0,0.0,0.009749251822819736,0.0,0.0,5148631941.033033,4338465640.704113,0.0,0.0,0.0,810166300.3289193,3346190179.5674577,676669566.2800616,13084741.305071559,267710.39936587145,139884375.84905457,19811270.848399106,0.0
